"Gene","Outcome","Group","Regulation","lfc","padj","Significant"
"PLA2G6","Survived","Pre-response","None",0.134269329140063,0.999507493356054,FALSE
"HMGB1","Survived","Pre-response","None",-0.133367933102493,0.999507493356054,FALSE
"TARP","Survived","Pre-response","None",0.133146829416546,0.999507493356054,FALSE
"TNFSF15","Survived","Pre-response","None",0.132234088227002,0.999507493356054,FALSE
"IFI35","Survived","Pre-response","None",0.131193570728573,0.999507493356054,FALSE
"DEFA1","Survived","Pre-response","None",0.129894872932072,0.999507493356054,FALSE
"TNFRSF14","Survived","Pre-response","None",0.12896867230806,0.999507493356054,FALSE
"IRF4","Survived","Pre-response","None",0.128897469038504,0.999507493356054,FALSE
"LILRB1","Survived","Pre-response","None",0.128550999034111,0.999507493356054,FALSE
"CD96","Survived","Pre-response","None",-0.128273880383757,0.999507493356054,FALSE
"TRAF2","Survived","Pre-response","None",-0.126973489474561,0.999507493356054,FALSE
"CD74","Survived","Pre-response","None",0.126345191633234,0.999507493356054,FALSE
"TLR5","Survived","Pre-response","None",-0.126011040694534,0.999507493356054,FALSE
"TNFSF13B","Survived","Pre-response","None",-0.125821248381715,0.999507493356054,FALSE
"TPSAB1","Survived","Pre-response","None",0.125395286583135,0.999507493356054,FALSE
"BCAP31","Survived","Pre-response","None",0.124693267853422,0.999507493356054,FALSE
"IL1RN","Survived","Pre-response","None",-0.124577931384272,0.999507493356054,FALSE
"LGALS3","Survived","Pre-response","None",-0.123754168173612,0.999507493356054,FALSE
"CSF3R","Survived","Pre-response","None",0.123372936655731,0.999507493356054,FALSE
"IL7R","Survived","Pre-response","None",0.123307855654042,0.999507493356054,FALSE
"NOD2","Survived","Pre-response","None",0.122395185991143,0.999507493356054,FALSE
"CD4","Survived","Pre-response","None",-0.122114136251036,0.999507493356054,FALSE
"IFNAR2","Survived","Pre-response","None",0.122037584747511,0.999507493356054,FALSE
"RARRES3","Survived","Pre-response","None",0.121532454488516,0.999507493356054,FALSE
"FCGR3","Survived","Pre-response","None",-0.119962654808791,0.999507493356054,FALSE
"CD274","Survived","Pre-response","None",-0.119268548991181,0.999507493356054,FALSE
"GNLY","Survived","Pre-response","None",0.118173415162666,0.999507493356054,FALSE
