"Gene","Outcome","Group","Regulation","lfc","padj","Significant"
"ICAM-1","Survived","Recovered","None",0.360089073769183,0.604412707863551,FALSE
"sCD40L","Survived","Recovered","None",0.336009416659881,0.748194420997826,FALSE
"MMP-2","Survived","Recovered","None",0.266432191983522,0.748194420997826,FALSE
"IL-17A","Survived","Recovered","None",0.243454432432946,0.748194420997826,FALSE
"OPN","Survived","Recovered","None",0.223563378184986,0.652385225464982,FALSE
"Antithrombin","Survived","Recovered","None",-0.220519119013197,0.652385225464982,FALSE
"Prothrombin","Survived","Recovered","None",-0.201217202673753,0.748194420997826,FALSE
"Plasminogen","Survived","Recovered","None",-0.149101616854761,0.748194420997826,FALSE
"NGAL","Survived","Recovered","None",-0.132124283396745,0.771943543881939,FALSE
"Factor XIII","Survived","Recovered","None",-0.12653236372029,0.748194420997826,FALSE
"VCAM-1","Survived","Recovered","None",0.123175272078015,0.83805844130673,FALSE
"Tissue Factor","Survived","Recovered","None",0.116853108085891,0.773801684184187,FALSE
"MMP-9","Survived","Recovered","None",-0.116805337628925,0.83805844130673,FALSE
"PSGL-1","Survived","Recovered","None",-0.10651502683015,0.748194420997826,FALSE
"MPO","Survived","Recovered","None",0.102411025537837,0.898740093655139,FALSE
"MIP-1α","Survived","Recovered","None",-0.0881864740870704,0.787701152066287,FALSE
"Myoglobin","Survived","Recovered","None",-0.0560847286273827,0.934018537336992,FALSE
"SAA","Survived","Recovered","None",-0.0517989607938087,0.934018537336992,FALSE
"IL-8","Survived","Recovered","None",-0.0294817671475869,0.934018537336992,FALSE
"RANTES","Succumbed","Pre-response","None",1.71361674334888,0.652721908190292,FALSE
"TNF-α","Succumbed","Pre-response","None",-1.04734484153308,0.652721908190292,FALSE
"sCD40L","Succumbed","Pre-response","None",1.0287926466645,0.652721908190292,FALSE
"IFN-β","Succumbed","Pre-response","None",-0.945206379884209,0.652721908190292,FALSE
"IL-12p40","Succumbed","Pre-response","None",-0.901689790488683,0.652721908190292,FALSE
"IL-1β","Succumbed","Pre-response","None",-0.861289897768445,0.652721908190292,FALSE
"MRP8/14","Succumbed","Pre-response","None",0.847014249325074,0.652721908190292,FALSE
"IP-10","Succumbed","Pre-response","None",-0.775108971868565,0.652721908190292,FALSE
"IGFBP-4","Succumbed","Pre-response","None",0.774432987058532,0.652721908190292,FALSE
"IFN-γ","Succumbed","Pre-response","None",-0.751396772177116,0.652721908190292,FALSE
"GM-CSF","Succumbed","Pre-response","None",-0.715339803816083,0.652721908190292,FALSE
"SAA","Succumbed","Pre-response","None",0.675906094271525,0.652721908190292,FALSE
"IL-17A","Succumbed","Pre-response","None",-0.648254432072773,0.652721908190292,FALSE
"MMP-2","Succumbed","Pre-response","None",0.621429475999424,0.652721908190292,FALSE
"Cystatin C","Succumbed","Pre-response","None",0.511552427179883,0.652721908190292,FALSE
"Myoglobin","Succumbed","Pre-response","None",0.455121267507607,0.940103203361842,FALSE
"IL-10","Succumbed","Pre-response","None",-0.397258766391127,0.652721908190292,FALSE
"ICAM-1","Succumbed","Pre-response","None",0.341456907292899,0.652721908190292,FALSE
"IL-23","Succumbed","Pre-response","None",-0.334783702313416,0.994529310838135,FALSE
"Prothrombin","Succumbed","Pre-response","None",-0.282558442342982,0.89036175588825,FALSE
"NGAL","Succumbed","Pre-response","None",0.272379942968374,0.652721908190292,FALSE
"I-TAC","Succumbed","Pre-response","None",-0.226710136238648,0.994529310838135,FALSE
"tPA","Succumbed","Pre-response","None",-0.198976991344782,0.994529310838135,FALSE
"PAI-1","Succumbed","Pre-response","None",0.182031558055851,0.994529310838135,FALSE
"OPN","Succumbed","Pre-response","None",0.169170537707128,0.911255169271148,FALSE
"MIP-1β","Succumbed","Pre-response","None",-0.151874786559342,0.994529310838135,FALSE
"IL-8","Succumbed","Pre-response","None",-0.141048630434428,0.994529310838135,FALSE
"MIP-1α","Succumbed","Pre-response","None",-0.121517199943845,0.994529310838135,FALSE
"IL-6","Succumbed","Pre-response","None",0.0826509889307552,0.994529310838135,FALSE
"Factor XIII","Succumbed","Pre-response","None",-0.0775821446148406,0.994529310838135,FALSE
"MIG","Succumbed","Pre-response","None",-0.0743708597612089,0.994529310838135,FALSE
"MCP-1","Succumbed","Pre-response","None",0.0522161950576319,0.994529310838135,FALSE
"MPO","Succumbed","Pre-response","None",0.050112707308875,0.994529310838135,FALSE
"Plasminogen","Succumbed","Pre-response","None",0.041521256037818,0.994529310838135,FALSE
"VCAM-1","Succumbed","Pre-response","None",0.0386483284027932,0.994529310838135,FALSE
"Antithrombin","Succumbed","Pre-response","None",-0.0364502260019393,0.994529310838135,FALSE
"MMP-9","Succumbed","Pre-response","None",0.0208216661824459,0.994529310838135,FALSE
"Fibrinogen","Succumbed","Pre-response","None",-0.0200635127382434,0.994529310838135,FALSE
"Eotaxin","Succumbed","Pre-response","None",-0.0194668801289888,0.994529310838135,FALSE
"Tissue Factor","Succumbed","Pre-response","None",0.00989965921967872,0.994529310838135,FALSE
"PSGL-1","Succumbed","Pre-response","None",0.00109572513665768,0.994529310838135,FALSE
"RANTES","Succumbed","Early","None",1.162497147162,0.997487940940071,FALSE
"IL-12p40","Succumbed","Early","None",-0.892782492345643,0.997487940940071,FALSE
