Mixture,Naïve B,Memory B,Plasma B,CD8 T,Naïve CD4 T,Mem. resting CD4 T,Mem. activated CD4 T,Tfh,Tregs,γΔT,Resting NK,Activated NK,Monocytes,M0-like myeloid,M1-like myeloid,M2-like myeloid,Resting DC,Activatred DC,Resting mast,Activated mast,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
sample043,0,0.02657887,0.094178153,0.20799059,0,0.26178125,0.169494593,0,0,0.024511669,0.24859854,0,0.424226551,0,0,0.027787923,0,0.020736553,0.011256532,0,0,0.883692572,0,0.663806963,0.786559842,2.400833795
sample044,0.042470034,0.055577002,0.284159279,0.122873235,0.363606695,0,0.720178567,0,0,0.634631041,0.152775417,0,0.361993889,0.055131913,0.004906259,0,0,0,0.184616378,0,0,0.396406812,0,0.633316758,0.796807032,3.37932652
sample045,0,0.73506989,0.232463092,0.106864335,0.18560428,0.105062643,0.497643123,0,0,0.074978935,0.398013736,0,0,0,0,0.049387146,0.019696433,0.000869249,0,0.042242897,0,0.25714268,0,0.769936378,0.716618511,2.705038438
sample046,0,0.598031677,0.300696619,0.089687297,0.269862731,0.106612728,0.426113803,0,0,0.002032753,0.38535528,0,0,0,0,0.022080577,0.001558332,0.008657989,0,0.026744909,0.010447494,0.371654918,0,0.746327404,0.739749143,2.619537107
sample047,0,0.684685729,0.170355858,0.125068637,0.201992428,0,0.448932914,0,0,0,0.404602438,0,0.025183162,0.029598764,0,0.054265404,0.034171454,0.022201417,0,0.031436246,0,0.396142841,0,0.773408159,0.725281878,2.628637292
sample048,0,0.641501283,0.040905221,0.02142419,0.202635702,0,0.285001093,0,0,0.020593668,0.271544298,0,0.296243272,0.021594905,0,0.002863023,0.003054975,0.001414506,0,0.011002777,0,0.622812825,0,0.734856372,0.758332817,2.442591738
sample049,0,0.775671034,0.017384558,0,0,0.066054981,0.133410463,0,0,0,0.129119611,0,0,0.114551513,0,0.021255234,0.000976225,0.005378642,0.015584147,0,0,0.885697592,0,0.701617977,0.760882986,2.165084
sample050,0,0.370657276,0.128874884,0.034759648,0.214798692,0,0.459209831,0,0,0.173110962,0.282339241,0,0.438869475,0.019229628,0.027058676,0,0,0.001665227,0.051103067,0,0,0.538073455,0,0.695129763,0.782274516,2.739750063
sample051,0,0.201155116,0.23863,0.275543838,0.213324209,0.298506555,0.718096239,0,0,0,0.590702462,0,0.056936986,0.028583383,0.000718769,0.088458247,0,0,0,0,0.050875335,0.330909207,0,0.839283857,0.641171667,3.092440346
sample052,0.02396372,0.036795592,0.048024323,0.224520239,0,0.395102077,0.598311625,0,0,0,0.167868747,0,0,0,0,0.155343761,0.050744669,0.046786088,0.222843474,0,0.089078237,0.04732139,0.043,0.312416045,0.955328022,2.106703943
sample053,0,0.253636272,0.160037704,0.039170485,0.301114567,0.010476359,0.318635501,0,0,0,0.320767944,0,0.369180643,0,0,0.019813127,0,0.003079301,0,0,0,1.126650276,0,0.791098485,0.724392015,2.922562179
sample054,0,0.226556807,0.099731132,0,0.248776651,0,0.303098148,0,0,0.115131012,0.537332065,0,0.170854064,0,0.010196291,0.060191227,0,0.045225938,0,0.009733926,0,2.008196797,0,0.781225387,0.696584822,3.835024058
sample055,0,0.207536485,0.121865084,0,0.380124262,0,0.333731958,0,0,0.315976604,0.294561872,0,0.324657282,0.005838381,0,0.018978887,0,0.077406079,0.055057047,0,0,1.31034007,0,0.74417471,0.740942785,3.446074012
sample056,0,0.227535801,0.332968009,0.181253929,0.269639353,0,0.439233314,0,0,0.360266337,0.319570663,0,0.386478323,0.030727363,0.000849515,0.024965278,0,0,0.087939285,0,0,0.904614389,0,0.717086446,0.763038974,3.566041559
sample057,0,0.117766881,0.104004278,0,0.203912562,0,0.342507519,0,0,0.161387028,0.19014306,0,0.509073421,0.484326533,0.008485765,0,0,0,0.124706398,0,0,0.818627568,0,0.793789639,0.742904772,3.064941012
sample058,0.002114911,0.094803964,0.175594537,0.006323069,0.204437292,0,0.236690806,0,0,0.132491977,0.140589825,0,0.279753144,0.907536385,0.011050571,0,0,0,0.13286475,0,0,0.2763408,0,0.693531075,0.770110533,2.60059203
sample059,0,0.246541385,0.05397314,0.141172797,0.158829997,0.09016306,0.32770124,0,0,0.010910778,0.405749018,0,0.274033988,0.15612614,0,0,0,0,0,0.041404543,0,0.675313283,0,0.836088843,0.68519378,2.581919369
sample060,0,0.364511877,0.151745813,0.169906938,0.225624224,0.055593423,0.465394604,0,0,0,0.450675389,0,0.234595759,0,0,0.030946833,0,0,0,0.018595543,0,0.607681915,0,0.822583065,0.690478035,2.775272318
sample061,0,0.2885774,0.114957281,0.012588675,0.274864622,0,0.298156068,0,0,0.03930778,0.345761378,0,0.44385051,0.029072645,0,0,0,0,0.006460724,0,0,0.8028557,0,0.819473707,0.713771622,2.656452784
sample062,0,0.40166913,0.134528808,0.021766438,0.265736071,0,0.198519033,0,0,0.058118073,0.267786084,0,0.470369261,0,0,0.008619796,0,0.004590638,0.003407335,0,0,0.911395046,0,0.812313917,0.723471909,2.746505713
sample063,0,0.203672042,0.077805812,0,0.324699989,0,0.245963988,0,0,0.06270749,0.203117149,0,0.343705736,0.027907671,0.009986253,0,0,0.002261638,0.080258662,0,0,1.801288209,0,0.801728182,0.697657723,3.383374641
sample064,0,0.241149126,0.177053889,0.003340272,0.336570091,0,0.365216865,0,0,0.394413736,0.234656608,0,0.392725938,0.056194408,0.004292115,0.001457028,0,0,0.036650611,0,0,1.304540828,0,0.696725391,0.769532009,3.548261516
sample065,0,0.113871178,0.13334983,0,0.21907923,0,0.327421739,0,0,0.506555713,0.101209474,0,0.184308407,0.914497708,0.015673099,0,0,0,0.258226626,0,0,0.883427235,0,0.766357384,0.731190596,3.657620239
